DOMAINE;MARQUE SENSIBLE;OADC INTERDIT;TYPE D'INTERDICTION;commentaires; mise à jour
ENERGIE;EDF;edfenr;Interdit sauf autorisation;SFR propose Changement de statut le 30/06/2023;30/06/2023
ENERGIE;EDF;edfimpaye;Interdit sauf autorisation;;15/10/2022
ENERGIE;EDF;edfrelance;Interdit sauf autorisation;;15/10/2022
ENERGIE;EHOUSE;ehouse;Strictement interdit;;19/12/2022
ENERGIE;ENERGIE;energie;Strictement interdit;;19/12/2022
ENERGIE;Énergie;énergie;Strictement interdit;;19/12/2022
ENERGIE;ENERGIE H;energie h;Strictement interdit;;19/12/2022
ENERGIE;ENERGY;energy;Strictement interdit;;19/12/2022
ENERGIE;ENGIE;engie;Interdit sauf autorisation;;15/10/2022
ENERGIE;GAZENERGI;gazenergl;Strictement interdit;;19/12/2022
ENERGIE;GRDF;grdf;Interdit sauf autorisation;;15/10/2022
ENERGIE;GRDF;grdf inco;Interdit sauf autorisation;SFR propose Changement de statut le 30/06/2023;30/06/2023
ENERGIE;H ENERGIE;h energie;Strictement interdit;;19/12/2022
EPARGNE;Livret 2022;livret 2022;Strictement interdit;;19/12/2022
FORMATION;CPF;cpf;Strictement interdit;;15/10/2022
FORMATION;CPF;cpf-gouv;Strictement interdit;;19/12/2022
FORMATION;CPF;demandecpf;Strictement interdit;;15/10/2022
FORMATION;CPF;maformation;Strictement interdit;;15/10/2022
GENERIQUE;ANTAI;26824;Strictement interdit;Cet OADC strictement numérique a été observé. Il n'est pas utilisé actuellement par un serveur privé.;06/03/2023
GENERIQUE;3DSECURE;3dsecure;Interdit sauf autorisation;;15/10/2022
GENERIQUE;Abonnement;abonnement;Strictement interdit;;19/12/2022
GENERIQUE;Crédit Agricole;agricoie;Strictement interdit;inscrit le 06/03/2023- changement de statut le 08/05/2023;08/05/2023
GENERIQUE;Crédit Agricole;agricole;Interdit sauf autorisation;;08/05/2023
GENERIQUE;ALERTE;alerte;Interdit sauf autorisation;Nouveau Solution d'Alerte des Maires;19/12/2022
GENERIQUE;ANTAI;amende;Strictement interdit;;06/03/2023
GENERIQUE;ASSURANCE;assurance;Strictement interdit;;19/12/2022
GENERIQUE;AUTHMSG;authmsg;Interdit sauf autorisation;;19/12/2022
GENERIQUE;BANQUE;banque;Strictement interdit;"pour l'instant OK ; en attendant- trafic legitime";31/01/2023
GENERIQUE;BLOCAGE;blocage;Strictement interdit;;15/10/2022
GENERIQUE;BLOCAGE;bloquage;Strictement interdit;;15/10/2022
GENERIQUE;FINANCE;finance;Strictement interdit;;19/12/2022
GENERIQUE;INFO;info;Strictement interdit;;15/10/2022
GENERIQUE;infofr;infofr;Strictement interdit;;19/12/2022
GENERIQUE;LABO;labo;Strictement interdit;;15/10/2022
GENERIQUE;LABORATOIRE;laboratoire;Strictement interdit;;15/10/2022
GENERIQUE;Livraison;Livraison;Interdit sauf autorisation;MTARGET propose Changement de statut le 30/06/2023;30/06/2023
GENERIQUE;NOTICE;notice;Strictement interdit;;19/12/2022
GENERIQUE;service;service;Strictement interdit;;19/12/2022
GENERIQUE;SERVICES;services;Strictement interdit;;19/12/2022
GENERIQUE;SMSIN;smsin;Strictement interdit;;19/12/2022
GENERIQUE;SMSINFO;smsinfo;Strictement interdit;;19/12/2022
GENERIQUE;TEST;test;Strictement interdit;;15/10/2022
GENERIQUE;WEB SMS;web sms;Interdit sauf autorisation;demande  changement de statut;19/12/2022
GENERIQUE;WEB SMS;websms;Interdit sauf autorisation;demande  changement de statut;19/12/2022
INSTITUTIONS;ANTAI;amende gouv;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;amende info;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;amendegouv;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;amendeinfo;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;amendes gouv;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;amendes info;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;antai;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;antaigouv;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;antal;Interdit sauf autorisation;(L minuscule);06/03/2023
INSTITUTIONS;ANTAI;antay;Strictement interdit;;06/03/2023
INSTITUTIONS;CAF;caf;Interdit sauf autorisation;;15/10/2022
INSTITUTIONS;CAF;caf;Interdit sauf autorisation;CAF # ( Numéro département);15/10/2022
INSTITUTIONS;CAF;caf;Interdit sauf autorisation;CAF Région;15/10/2022
INSTITUTIONS;Crit Air;critair;Interdit sauf autorisation;;19/12/2022
INSTITUTIONS;DGCCRF;dgccrf;Strictement interdit;Chgt de statut le 27/06/2023;15/10/2022
INSTITUTIONS;DGFIP;dgfip;Interdit sauf autorisation;inscrit le 15/10/2022- changement de statut le 08/05/2023;08/05/2023
INSTITUTIONS;EMPLOI;emploi;Strictement interdit;;19/12/2022
INSTITUTIONS;FR-ALERT;fr-aiert;Strictement interdit;(i minuscule);15/10/2022
INSTITUTIONS;FR-ALERT;fr-alert;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;g0uvfr;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;gouv;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;gouv.fr;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;gouvfr;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;gouvinfo;Strictement interdit;;15/10/2022
INSTITUTIONS;GOUV.FR;govvfr;Strictement interdit;;15/10/2022
INSTITUTIONS;ANTAI;infoamende;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;infoamendes;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;infoantai;Strictement interdit;;06/03/2023
INSTITUTIONS;ANTAI;infoantal;Strictement interdit;(L minuscule);06/03/2023
INSTITUTIONS;Ministère;minister;Strictement interdit;;31/01/2023
INSTITUTIONS;Ministère;ministere;Strictement interdit;;31/01/2023
INSTITUTIONS;Ministère;ministère;Strictement interdit;;31/01/2023
INSTITUTIONS;POLE EMPLOI;pole emploi;Interdit sauf autorisation;;15/10/2022
INSTITUTIONS;ANTAI;sms;Strictement interdit;;27/06/2023
INSTITUTIONS;ANTAI;timecaps;Strictement interdit;;27/06/2023
INSTITUTIONS;URSSAF;urssaf;Interdit sauf autorisation;;15/10/2022
INSTITUTIONS;URSSAF;urssaf paca;Interdit sauf autorisation;;15/10/2022
INSTITUTIONS;URSSAF;urssaf tese;Strictement interdit;;15/10/2022
LIVRAISON;CHRONOPOST;chonopost;Strictement interdit;;15/10/2022
LIVRAISON;CHRONOPOST;chrono;Strictement interdit;;27/06/2023
LIVRAISON;CHRONOPOST;chronopost;Interdit sauf autorisation;;15/10/2022
LIVRAISON;CHRONOPOST;Chronopost-;Strictement interdit;;15/10/2022
LIVRAISON;CHRONOPOST;chronopost*;Strictement interdit;;15/10/2022
LIVRAISON;CHRONOPOST;chronoposte;Strictement interdit;;15/10/2022
LIVRAISON;DHL;colis dhl;Strictement interdit;;15/10/2022
LIVRAISON;COLISSIMO;colissiimo;Strictement interdit;;15/10/2022
LIVRAISON;COLISSIMO;colissim0;Strictement interdit;;15/10/2022
LIVRAISON;COLISSIMO;colissimo;Interdit sauf autorisation;demande  mais déjà pris en compte;19/12/2022
LIVRAISON;COLISSIMO;colissimolp;Strictement interdit;;15/10/2022
LIVRAISON;DHL;dhl;Interdit sauf autorisation;;15/10/2022
LIVRAISON;DHL;dhl express;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
LIVRAISON;DHL;dhlexpress;Interdit sauf autorisation;SFR propose Changement de statut le 30/06/2023;30/06/2023
LIVRAISON;DHL;icade;Interdit sauf autorisation;;06/03/2023
LIVRAISON;CHRONOPOST;parcel;Strictement interdit;;27/06/2023
LIVRAISON;CHRONOPOST;post;Strictement interdit;;27/06/2023
LIVRAISON;COLISSIMO;secure;Strictement interdit;;27/06/2023
Marchands;AMAZON;amazon;Interdit sauf autorisation;;15/10/2022
Marchands;AMAZON;amazon fr;Strictement interdit;;15/10/2022
Marchands;AMAZON;amazon.fr;Strictement interdit;;15/10/2022
Marchands;DARTY;darty;Interdit sauf autorisation;;15/10/2022
Marchands;DARTY;darty pam;Interdit sauf autorisation;;15/10/2022
Marchands;DARTY;darty sav;Interdit sauf autorisation;;15/10/2022
Marchands;DARTY;darty tulle;Interdit sauf autorisation;;15/10/2022
Marchands;DARTY;dartycognac;Interdit sauf autorisation;;15/10/2022
Marchands;DARTY;dartymenton;Interdit sauf autorisation;;15/10/2022
Marchands;LECLERC;e leclerc;Interdit sauf autorisation;;15/10/2022
Marchands;LECLERC;elclerc;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
Marchands;AMAZON;infoamazon;Strictement interdit;;15/10/2022
Marchands;LECLERC;leclerc;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
Marchands;LECLERC;leclercauch;Interdit sauf autorisation;info donnée par agrégateur lors des déclarations OADC;19/12/2022
Marchands;Le Bon Coin;notify;Strictement interdit;;27/06/2023
Opérateurs;Orange;0range;Strictement interdit;;15/10/2022
Opérateurs;Orange;0ranje;Strictement interdit;;15/10/2022
Opérateurs;Bouygues;bouygtel;Interdit sauf autorisation;;15/10/2022
Opérateurs;SFR;facturation;Strictement interdit;;27/06/2023
Opérateurs;FREE;free;Interdit sauf autorisation;;15/10/2022
Opérateurs;SFR;info sfr box;Interdit sauf autorisation;;15/10/2022
Opérateurs;SFR;infosfr;Interdit sauf autorisation;;15/10/2022
Opérateurs;SFR;internesfr;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange bank;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange ftth;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange info;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange pro;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange sa;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange sav;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange ui;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange uipp;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangebank;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orange-bank;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangefibre;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangeftth;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangegroup;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangeinfo;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangemoney;Interdit sauf autorisation;;15/10/2022
Opérateurs;Orange;orangesav;Interdit sauf autorisation;;15/10/2022
