IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Genuxsys;GENU;51497464100029;DRAGUIGNAN; 34 RUE SOUS-VILLE  83570 CARCES   ;0;11/10/2013 00:00
Geo telephonie;GEOT;80054521200014;Quimper; 48 QUAI DE L ODET  29000 QUIMPER   ;0;19/03/2014 00:00
Geocommunication & networks;GEOW;53481155900028;Evry; 18 RUE GUSTAVE EIFFEL  91100 CORBEIL-ESSONNES   ;0;07/09/2022 00:00
Gers fibre;GEFI;89947215300019;Auch; 1 RUE MARCEL LUQUET  32000 AUCH   ;0;17/06/2021 00:00
Gers numérique;GERS;20003927900019;Préfecture du Gers; 81 ROUTE DE PESSAN BP 50546 32021 AUCH  CEDEX 9 ;0;12/05/2016 00:00
Gestion informatique domotique management;GIDM;81859563900019;Pointe à Pitre;APPT. 77 RESIDENCE LES SAINTES SECTION CARUEL  97139 LES ABYMES   ;0;27/07/2021 00:00
Get & go telecom;GETG;829022193;Paris; 5 RUE DES SUISSES  75014 PARIS   ;1;14/04/2017 00:00
Ghvoip;GHVO;83783121300025;Paris B 837 831 213; 128 RUE LA BOETIE  75008 PARIS   ;1;24/04/2018 00:00
Gimmick;GIMM;45138874800027;Auch; 27B RUE VICTOR HUGO  32300 MIRANDE   ;0;20/02/2020 00:00
GIP Vendée numérique;VENU;13001855900018;LA ROCHE SUR YON;GIP VENDEE NUMERIQUE 40 RUE DU MARECHAL FOCH  85000 LA ROCHE SUR YON   ;1;16/09/2014 00:00
Gironde Très Haut Débit;GTHD;81738956200015;Bordeaux; 22 RUE DU CHATEAU D EAU  33000 BORDEAUX   ;0;28/02/2018 00:00
Glaucos;GLCS;90519879200012;Evreux; 2247 VOIE DE L'OREE  27100 VAL-DE-REUIL   ;0;09/03/2023 00:00
Global connect;GACT;82517835300017;Angers; 6 PLACE DU DOCTEUR BICHON  49100 ANGERS   ;0;09/09/2020 00:00
Global premium telecom B.V.;GLPT; ;71556966 Enschede; 7 MR TREUBLAAN  1097DP AMSTERDAM NOORD HOLLAND  PAYS-BAS;0;09/06/2020 00:00
Global server telecom BV;GLST; ;KVK 73293792 Amsterdam (Pays-Bas);KINGSFORDWEG 151   1043GR AMSTERDAM   PAYS-BAS;1;06/10/2020 00:00
Global UC Inc.;GLUC; ;46-4075050 Ohio, Etats-Unis; 5273 DILLON CIRCLE  76137 HALTOM CITY TX  ETATS-UNIS;0;26/09/2023 00:00
Globalstar Europe;GLOB;44242749800013;Paris;CHEZ ABC LIV 37 RUE DES MATHURINS  75008 PARIS   ;1;14/11/2002 00:00
Globaltel;GLOA;49437136200034;VERSAILLES; 18 RUE ALBERT BRIAND BP 4453 97500 SAINT PIERRE   ;1;09/11/2009 00:00
Google Cloud France;GGCF;88172158300014;Paris; 8 RUE DE LONDRES  75009 PARIS   ;1;17/07/2023 00:00
Goto technologies Ireland unlimited;GTTI; ;512618 Irish Registration Number;THE REFLECTOR 10 HANOVER QUAY  D02 R573 DUBLIN   IRLANDE;1;17/08/2022 00:00
GP concepts;GPCO;95093892800013;Annecy; 2350 ROUTE DE SAURY  74210 LATHUILE   ;1;28/04/2023 00:00
GPconnect;GPCN;95371810300013;Pointe-à-Pitre;DOUVILLE ROUTE DE FOND VAPEUR  97180 SAINTE ANNE   ;0;31/08/2023 00:00
Gradwell communications;GRDW; ;03673235 Royaume-Uni;TRIMBRIDGE HOUSE TRIM STREET  BA1 1HB BATH   ROYAUME-UNI;0;19/07/2023 00:00
GRAND DAX TRES HAUT DEBIT;GDHD;52919346800020;DAX; RUE JEAN ODDOS  40990 SAINT-PAUL-LES-DAX   ;0;27/03/2013 00:00
Graphnet France;GRFR;37896796200044;Paris; 155 BOULEVARD HAUSSMANN  75008 PARIS   ;0;09/05/2018 00:00
GRAVELINES NETWORK;GRNE;51122644100059;Nanterre; 124 BOULEVARD DE VERDUN  92400 COURBEVOIE   ;0;11/08/2010 00:00
Green cube technologies;GRCT;81425288800015;Melun; 45 RUE PASTEUR  77590 BOIS-LE-ROI   ;0;24/04/2018 00:00
Grenat gestion;GRGE;32989058600053;Brest; 4 RUE PAUL HEROULT  29200 BREST   ;0;01/03/2019 00:00
Gressier;GRSR;91370942400018;Nice;BAT A 4 RUE BOERS  06100 NICE   ;0;21/06/2022 00:00
Grid telecom;GRID;82329360000032;AIX-EN-PROVENCE;LE MERCURE B 80 RUE CHARLES DUCHESNE  13290 AIX-EN-PROVENCE   ;0;26/10/2016 00:00
Groupama supports et services;GRSS;41054695600013;Paris; 8-10 RUE D ASTORG  75008 PARIS   ;0;08/02/2017 00:00
Groupe ADS Numeric;ADSN;82757594500023;Nanterre; 24 RUE RIVAY  92300 LEVALLOIS PERRET   ;0;09/07/2023 00:00
Groupe Agitel;GRAG;52150605500024;Paris; 67 RUE DE BUZENVAL  75020 PARIS   ;1;21/03/2016 00:00
Groupe Allians;ALNS;84759001500016;Fréjus; 745 RUE DU CAPITAINE RENE BLAZY  83600 FREJUS   ;0;08/09/2023 00:00
Groupe Allo-Media;GPAM;53116321000036;Paris; 32 RUE DE LA BIENFAISANCE  75008 PARIS   ;1;15/05/2018 00:00
Groupe BFR business;BFRB;84972689800018;Le Mans; 25 RUE NATIONALE  72230 GUECELARD   ;1;15/04/2019 00:00
Groupe convergence.com;GCCO;44009437300030;NIORT; 17 BOULEVARD ALFRED DE VIGNY BP 129 79104 THOUARS  CEDEX ;1;25/01/2013 00:00
Groupe cyclope;CYCL;83231994100015;Nanterre; 26 RUE PIERRE SEMARD  92320 CHATILLON   ;0;23/09/2021 00:00
GROUPE CYRES;CYRE;44215581800028;Tours; 19 RUE EDOUARD VAILLANT  37000 TOURS   ;0;28/04/2010 00:00
Groupe LT;GRLT;80900929300022;Créteil; 1 AVENUE DE L EUROPE  94320 THIAIS   ;0;17/11/2020 00:00
Groupe obzzo SAS;OBZZ;91264417600014;Strasbourg; 36 RUE DE SELESTAT  67300 SCHILTIGHEIM   ;0;05/07/2022 00:00
Groupe S.E.;GRSE;51922214500012;Paris; 266 AVENUE DAUMESNIL  75012 PARIS   ;0;30/08/2018 00:00
Groupe telecoms de l'Ouest;GPTO;48089286800021;La Rochelle;ZA DES RIVAUDS SUD LALEU 31 RUE ROBERT GEFFRE  17000 LA ROCHELLE   ;0;14/09/2007 00:00
